"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1285","Переход на страницу оформления заказа и ввод личных данных, переход на страницу завершения оформления товара","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Thread 2","tests.CheckoutTest","fillOutYourInformationWithWalidData"
"Проверка логина с позитивным именем пользователя и  паролем","742","Проверка логина с позитивным именем пользователя и  паролем","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithPositiveCred"
"","702","Проверка возможнотсти перейти в карточку товара из корзины","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.CartTest","Thread 1","tests.CartTest","goToTheProductCardFromCart"
"","1614","Параметризованный тест для негативного логина","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Thread 1","tests.LoginTest","chekLoginWithNegativeCred1"
"","607","Добавление продукта в корзину","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.ProductsTest","Thread 1","tests.ProductsTest","addProductToCart"
"","621","даление продукта из корзины на странице продуктов","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.ProductsTest","Thread 1","tests.ProductsTest","removeProductFromCart"
"","2566","Переход на страницу оформления заказа и ввод личных данных, переход на страницу завершения оформления товара","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Thread 2","tests.CheckoutOverviewTest","finishOrder"
"","623","Параметризованный тест для негативного логина","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Thread 1","tests.LoginTest","chekLoginWithNegativeCred1"
"","693","Проверка возможнотсти продолжить покупки из корзины. В корзину ранее был добавлен товар","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.CartTest","Thread 1","tests.CartTest","continueShoppingFromCart"
"","620","Параметризованный тест для негативного логина","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Thread 1","tests.LoginTest","chekLoginWithNegativeCred1"
"Проверка возможнотсти перейти в пустую корзину","625","Проверка возможнотсти перейти в пустую корзину","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.CartTest","Thread 1","tests.CartTest","goToEmptyCart"
"","10711","Проверка возможнотсти удаления добаленного товара из корзины","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.CartTest","Thread 1","tests.CartTest","removeProductFromCart"
"","715","Проверка возможнотсти перейти на страницу оформления заказа из корзины с одним добавленным товаром","SauseDeme suite","2026-06-10","passed","2026-06-10","tests.CartTest","Thread 1","tests.CartTest","checkoutWithOneProduct"
