"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","780","Проверка возможнотсти перейти на страницу оформления заказа из корзины с одним добавленным товаром","SauseDeme suite","2026-06-08","passed","2026-06-08","tests.CartTest","Thread 1","tests.CartTest","checkoutWithOneProduct"
"","1842","Параметризованный тест для негативного логина","SauseDeme suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Thread 1","tests.LoginTest","chekLoginWithNegativeCred1"
"","2890","Переход на страницу оформления заказа и ввод личных данных, переход на страницу завершения оформления товара","SauseDeme suite","2026-06-08","passed","2026-06-08","tests.CheckoutOverviewTest","Thread 2","tests.CheckoutOverviewTest","finishOrder"
"","1356","Переход на страницу оформления заказа и ввод личных данных, переход на страницу завершения оформления товара","SauseDeme suite","2026-06-08","passed","2026-06-08","tests.CheckoutTest","Thread 2","tests.CheckoutTest","fillOutYourInformationWithWalidData"
"","902","Проверка возможнотсти перейти в карточку товара из корзины","SauseDeme suite","2026-06-08","passed","2026-06-08","tests.CartTest","Thread 1","tests.CartTest","goToTheProductCardFromCart"
"","662","даление продукта из корзины на странице продуктов","SauseDeme suite","2026-06-08","passed","2026-06-08","tests.ProductsTest","Thread 1","tests.ProductsTest","removeProductFromCart"
"","686","Параметризованный тест для негативного логина","SauseDeme suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Thread 1","tests.LoginTest","chekLoginWithNegativeCred1"
"","728","Добавление продукта в корзину","SauseDeme suite","2026-06-08","passed","2026-06-08","tests.ProductsTest","Thread 1","tests.ProductsTest","addProductToCart"
"","738","Проверка возможнотсти продолжить покупки из корзины. В корзину ранее был добавлен товар","SauseDeme suite","2026-06-08","passed","2026-06-08","tests.CartTest","Thread 1","tests.CartTest","continueShoppingFromCart"
"Проверка возможнотсти перейти в пустую корзину","641","Проверка возможнотсти перейти в пустую корзину","SauseDeme suite","2026-06-08","passed","2026-06-08","tests.CartTest","Thread 1","tests.CartTest","goToEmptyCart"
"Проверка логина с позитивным именем пользователя и  паролем","806","Проверка логина с позитивным именем пользователя и  паролем","SauseDeme suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithPositiveCred"
"","10847","Проверка возможнотсти удаления добаленного товара из корзины","SauseDeme suite","2026-06-08","passed","2026-06-08","tests.CartTest","Thread 1","tests.CartTest","removeProductFromCart"
"","677","Параметризованный тест для негативного логина","SauseDeme suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Thread 1","tests.LoginTest","chekLoginWithNegativeCred1"
